Quebra;Quebra2;Código;Descrição;Quantidade;Faturamento;Preço médio;Custo Total;Imposto Estadual;Imposto Federal;Lucro;Margem;Markup;Participação;Acumulado;Classificação;ICMS ST;Fecop ST
23/05/2026;;00000000010506;BERINJELA KG;3,475;23,59;6,79;14,94;0,00;0,00;8,65;36,66;57,89;0,37;32,37;;;
23/05/2026;;00000000004798;BETERRABA KG;7,450;37,17;4,99;31,42;0,00;0,00;5,75;15,47;18,30;0,25;32,62;;;
23/05/2026;;00000000012309;BROCOLIS UN;20,000;139,80;6,99;116,00;0,00;0,00;23,80;17,02;20,52;1,03;33,65;;;
23/05/2026;;00000000010691;CAQUI BANDEJA;3,000;14,97;4,99;12,00;0,00;0,00;2,97;19,84;24,75;0,13;33,77;;;
23/05/2026;;00000000010528;CAQUI KG;0,600;4,19;6,98;3,45;0,00;0,00;0,74;17,66;21,45;0,03;33,81;;;
23/05/2026;;00000000000471;CARTELA OVOS C/12;22,000;153,78;6,99;141,66;0,00;0,00;12,12;7,88;8,56;0,52;34,33;;;
23/05/2026;;00000000002495;CEBOLA GRAUDA KG;63,380;328,98;5,19;261,22;0,00;0,00;67,76;20,60;25,94;2,92;37,25;;;
23/05/2026;;00000000010508;CEBOLA MIUDA KG;3,060;13,74;4,49;6,12;0,00;0,00;7,62;55,46;124,51;0,33;37,58;;;
23/05/2026;;00000000010509;CEBOLA ROXA KG;4,660;31,18;6,69;27,19;0,00;0,00;3,99;12,78;14,66;0,17;37,75;;;
23/05/2026;;00000000004799;CENOURA KG;67,080;475,80;7,09;427,98;0,00;0,00;47,82;10,05;11,17;2,06;39,81;;;
23/05/2026;;00000000000258;CENOURA PROMOCAO KG;1,065;2,12;1,99;6,92;0,00;0,00;-4,80;-226,53;-69,38;-0,21;39,61;;;
23/05/2026;;00000000012307;CHEIRO VERDE UN.;41,000;102,09;2,49;69,70;0,00;0,00;32,39;31,73;46,47;1,40;41,00;;;
23/05/2026;;00000000004796;CHUCHU KG;10,035;36,03;3,59;23,63;0,00;0,00;12,40;34,41;52,46;0,53;41,54;;;
23/05/2026;;00000000010526;COCO SECO KG;9,440;45,22;4,79;30,92;9,04;0,00;14,30;11,63;46,26;0,62;42,16;;;
23/05/2026;;00000000012305;COENTRO UN.;68,000;101,32;1,49;115,60;0,00;0,00;-14,28;-14,09;-12,35;-0,62;41,54;;;
23/05/2026;;00000000012304;COUVE UN.;39,000;97,11;2,49;58,50;0,00;0,00;38,61;39,76;66,00;1,67;43,20;;;
23/05/2026;;00000000010514;GENGIBRE KG;1,760;26,02;14,78;10,78;0,00;2,00;15,24;50,87;141,37;0,66;43,86;;;
23/05/2026;;00000000002430;GOIABA  KG;2,155;21,53;9,99;22,28;0,00;0,00;-0,75;-3,49;-3,38;-0,03;43,83;;;
23/05/2026;;00000000012306;HORTELA UN;9,000;13,41;1,49;8,10;0,00;0,00;5,31;39,60;65,56;0,23;44,06;;;
23/05/2026;;00000000004804;INHAME KG;22,310;104,66;4,69;64,11;0,00;0,00;40,55;38,75;63,26;1,75;45,81;;;
23/05/2026;;00000000004803;JILO KG;10,275;82,12;7,99;54,35;0,00;0,00;27,77;33,81;51,08;1,20;47,00;;;
23/05/2026;;00000000010532;KIWI KG;0,165;4,12;24,97;2,78;0,00;0,00;1,34;32,64;48,45;0,06;47,06;;;
23/05/2026;;00000000004797;LARANJA PERA KG;38,045;144,19;3,79;114,13;0,00;0,00;30,05;20,84;26,33;1,30;48,36;;;
23/05/2026;;00000000002498;LIMAO KG;37,750;120,42;3,19;100,28;0,00;0,00;20,14;16,72;20,08;0,87;49,23;;;
